광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,05,29,2,"2,805,900",0.027105964,"1,810",0.033606811
서울특별시,종로구,2017,05,30,3,"2,311,150",0.022326508,"1,571",0.029169227
서울특별시,종로구,2017,05,31,4,"2,425,250",0.023428754,"1,711",0.031768648
서울특별시,종로구,2017,06,01,5,"2,268,850",0.021403725,"1,603",0.027805198
서울특별시,종로구,2017,06,02,6,"2,256,250",0.02128486,"1,573",0.027284827
서울특별시,종로구,2017,06,03,7,"2,404,700",0.022685298,"1,550",0.026885875
서울특별시,종로구,2017,06,04,1,"2,685,550",0.025334762,"1,680",0.029140819
서울특별시,종로구,2017,06,05,2,"2,813,450",0.026541336,"1,818",0.03153453
서울특별시,종로구,2017,06,06,3,"2,371,950",0.022376343,"1,547",0.026833838
서울특별시,종로구,2017,06,07,4,"2,597,400",0.024503178,"1,754",0.030424403
서울특별시,종로구,2017,06,08,5,"2,423,200",0.022859822,"1,657",0.028741868
서울특별시,종로구,2017,06,09,6,"2,146,950",0.020253753,"1,508",0.026157355
서울특별시,종로구,2017,06,10,7,"2,469,450",0.023296132,"1,569",0.027215444
서울특별시,종로구,2017,06,11,1,"2,891,200",0.027274809,"1,852",0.032124284
서울특별시,종로구,2017,06,12,2,"2,822,400",0.026625768,"1,852",0.032124284
서울특별시,종로구,2017,06,13,3,"2,266,400",0.021380613,"1,598",0.02771847
서울특별시,종로구,2017,06,14,4,"2,431,350",0.022936707,"1,703",0.029539771
서울특별시,종로구,2017,06,15,5,"2,321,800",0.021903241,"1,680",0.029140819
서울특별시,종로구,2017,06,16,6,"2,266,850",0.021384858,"1,633",0.02832557
서울특별시,종로구,2017,06,17,7,"2,618,500",0.02470223,"1,694",0.02938366
서울특별시,종로구,2017,06,18,1,"3,026,600",0.028552136,"1,879",0.032592619
서울특별시,종로구,2017,06,19,2,"2,949,700",0.027826682,"1,952",0.033858857
서울특별시,종로구,2017,06,20,3,"2,397,900",0.022621148,"1,661",0.028811251
서울특별시,종로구,2017,06,21,4,"2,574,650",0.024288561,"1,824",0.031638604
서울특별시,종로구,2017,06,22,5,"2,586,850",0.024403652,"1,745",0.030268292
서울특별시,종로구,2017,06,23,6,"2,603,300",0.024558837,"1,796",0.031152924
서울특별시,종로구,2017,06,24,7,"2,470,350",0.023304622,"1,640",0.02844699
서울특별시,종로구,2017,06,25,1,"3,293,000",0.031065283,"1,985",0.034431266
서울특별시,종로구,2017,06,26,2,"3,122,800",0.029459662,"1,952",0.033858857
서울특별시,종로구,2017,06,27,3,"2,711,650",0.025580982,"1,855",0.032176321
서울특별시,종로구,2017,06,28,4,"2,730,750",0.025761167,"1,912",0.033165028
