"date","totaldisQuan_t"
2019-02-05,132.37
2019-02-06,246.44805
2019-02-07,143.7268
2019-02-08,100.5042
2019-02-09,115.6987
2019-02-10,240.64355
2019-02-11,143.045
2019-02-12,119.79305
2019-02-13,133.3395
2019-02-14,116.1732
2019-02-15,85.63665
2019-02-16,101.8746
2019-02-17,241.01215
2019-02-18,160.725
2019-02-19,89.54
2019-02-20,135.0937
2019-02-21,118.48265
2019-02-22,119.2555
2019-02-23,131.5783
2019-02-24,239.54155
2019-02-25,139.7438
2019-02-26,121.72875
2019-02-27,167.6912
2019-02-28,114.83875
2019-03-01,117.09035
2019-03-02,137.0817
2019-03-03,245.68805
2019-03-04,123.24455
2019-03-05,102.1728
2019-03-06,132.6199
2019-03-07,117.27495
2019-03-08,100.0692
2019-03-09,114.48255
2019-03-10,240.91525
2019-03-11,136.7863
2019-03-12,86.49355
2019-03-13,113.92225
2019-03-14,99.9756
2019-03-15,59.6997
2019-03-16,116.7647
2019-03-17,215.2917
2019-03-18,124.4152
2019-03-19,70.724
2019-03-20,62.6785
2019-03-21,81.9269
2019-03-22,98.6664
2019-03-23,99.42
2019-03-24,217.8882
2019-03-25,120.48855
2019-03-26,102.6954
2019-03-27,113.90015
2019-03-28,114.1023
2019-03-29,85.09985
2019-03-30,83.77215
2019-03-31,216.0594
2019-04-01,107.2734
2019-04-02,101.928
2019-04-03,114.72175
2019-04-04,97.6866
2019-04-05,84.975
2019-04-06,84.38485
2019-04-07,241.9061
2019-04-08,121.5279
2019-04-09,70.64
2019-04-10,132.1439
2019-04-11,115.71105
2019-04-12,98.907
2019-04-13,114.9239
2019-04-14,197.04955
2019-04-15,140.9765
2019-04-16,101.9856
2019-04-17,131.7148
2019-04-18,84.21215
2019-04-19,99.6894
2019-04-20,116.60155
2019-04-21,218.6478
2019-04-22,159.33
2019-04-23,118.8473
2019-04-24,132.6752
2019-04-25,83.1193
2019-04-26,69.977
2019-04-27,117.6175
2019-04-28,219.0096
2019-04-29,141.6863
2019-04-30,103.4898
2019-05-01,154.71
2019-05-02,137.4765
2019-05-03,103.3458
2019-05-04,118.10825
2019-05-05,154.3425
2019-05-06,165.9405
2019-05-07,140.6048
2019-05-08,114.09905
2019-05-09,117.23335
2019-05-10,116.6529
2019-05-11,135.8945
2019-05-12,269.522
2019-05-13,160.55325
2019-05-14,138.4593
2019-05-15,136.1822
2019-05-16,118.6406
2019-05-17,117.4329
2019-05-18,138.2654
2019-05-19,218.8638
2019-05-20,187.9608
2019-05-21,140.0728
2019-05-22,151.257
2019-05-23,139.0669
2019-05-24,136.0205
2019-05-25,154.7445
2019-05-26,301.1085
2019-05-27,140.7875
2019-05-28,159.4755
2019-05-29,153.59625
2019-05-30,121.0196
2019-05-31,120.8974
2019-06-01,157.314
2019-06-02,297.97215
2019-06-03,183.4096
2019-06-04,157.926
2019-06-05,157.02825
2019-06-06,172.9624
2019-06-07,143.8318
2019-06-08,162.62175
2019-06-09,321.86
2019-06-10,181.5896
2019-06-11,143.7933
2019-06-12,157.04025
2019-06-13,154.91625
2019-06-14,138.3928
2019-06-15,160.16475
2019-06-16,328.9055
2019-06-17,188.8368
2019-06-18,118.53335
2019-06-19,181.104
2019-06-20,157.29
2019-06-21,138.0274
2019-06-22,198.16985
2019-06-23,331.1913
2019-06-24,201.8478
2019-06-25,179.476
2019-06-26,199.0343
2019-06-27,158.29725
2019-06-28,158.32575
2019-06-29,200.3348
2019-06-30,355.98595
2019-07-01,209.1884
2019-07-02,183.7472
2019-07-03,198.88895
2019-07-04,178.4544
2019-07-05,161.52225
2019-07-06,224.1486
2019-07-07,357.12445
2019-07-08,212.211
2019-07-09,179.7664
2019-07-10,136.9368
2019-07-11,180.128
2019-07-12,181.2552
2019-07-13,225.0333
2019-07-14,358.68615
2019-07-15,208.3571
2019-07-16,182.1984
2019-07-17,199.9523
2019-07-18,159.29625
2019-07-19,179.2952
2019-07-20,224.0631
2019-07-21,360.85275
2019-07-22,208.23385
2019-07-23,204.391
2019-07-24,219.3615
2019-07-25,162.17025
2019-07-26,179.6712
2019-07-27,273.598
2019-07-28,326.0136
2019-07-29,255.36665
2019-07-30,182.5256
2019-07-31,176.4664
2019-08-01,223.6059
2019-08-02,199.9727
2019-08-03,205.05145
2019-08-04,325.4845
2019-08-05,250.97765
2019-08-06,206.36555
2019-08-07,200.41895
2019-08-08,178.7176
2019-08-09,183.1944
2019-08-10,222.1857
2019-08-11,352.20015
2019-08-12,184.7328
2019-08-13,185.172
2019-08-14,197.2561
2019-08-15,200.42405
2019-08-16,203.76115
2019-08-17,178.9544
2019-08-18,300.92055
2019-08-19,203.47555
2019-08-20,158.59275
2019-08-21,153.77775
2019-08-22,174.8792
2019-08-23,115.60445
2019-08-24,157.1445
2019-08-25,296.6397
2019-08-26,200.56345
2019-08-27,115.85795
2019-08-28,155.77875
2019-08-29,136.171
2019-08-30,134.3272
2019-08-31,30.63235
2019-09-01,217.9368
2019-09-02,181.3248
2019-09-03,155.64225
2019-09-04,168.4976
2019-09-05,173.1536
2019-09-06,194.86335
2019-09-07,152.454
2019-09-08,480.55815
2019-09-09,207.07445
2019-09-10,196.3109
2019-09-11,391.9128
2019-09-12,462.5686
2019-09-13,268.307
2019-09-14,193.9224
2019-09-15,325.0478
2019-09-16,178.22
2019-09-17,178.3296
2019-09-18,192.7001
2019-09-19,171.0672
2019-09-20,150.3285
2019-09-21,191.37835
2019-09-22,295.8753
2019-09-23,224.3304
2019-09-24,153.777
2019-09-25,169.3592
2019-09-26,152.10375
2019-09-27,150.26175
2019-09-28,172.9176
2019-09-29,316.0278
2019-09-30,181.036
2019-10-01,174.4176
2019-10-02,111.87995
2019-10-03,265.291
2019-10-04,173.4696
2019-10-05,172.5568
2019-10-06,288.3174
2019-10-07,138.1093
2019-10-08,153.10575
2019-10-09,230.87945
2019-10-10,150.77925
2019-10-11,133.9072
2019-10-12,149.91975
2019-10-13,264.88
2019-10-14,174.7744
2019-10-15,134.3174
2019-10-16,167.7808
2019-10-17,147.123
2019-10-18,130.039
2019-10-19,166.9616
2019-10-20,290.38905
2019-10-21,176.2624
2019-10-22,152.97825
2019-10-23,125.9496
2019-10-24,148.56225
2019-10-25,132.7613
2019-10-26,149.7915
2019-10-27,286.52925
2019-10-28,174.824
2019-10-29,153.75225
2019-10-30,151.149
2019-10-31,130.9483
2019-11-01,151.317
2019-11-02,189.1437
2019-11-03,342.44815
2019-11-04,221.8833
2019-11-05,156.91425
2019-11-06,170.9472
2019-11-07,169.7656
2019-11-08,150.2985
2019-11-09,148.93275
2019-11-10,308.4268
2019-11-11,275.061
2019-11-12,214.8291
2019-11-13,187.7293
2019-11-14,211.2939
2019-11-15,170.9008
2019-11-16,287.994
2019-11-17,318.8251
2019-11-18,327.5074
2019-11-19,220.1058
2019-11-20,237.64155
2019-11-21,237.2644
2019-11-22,262.991
2019-11-23,298.21785
2019-11-24,444.743
2019-11-25,273.38
2019-11-26,221.3145
2019-11-27,235.99805
2019-11-28,213.5007
2019-11-29,194.0074
2019-11-30,242.62525
2019-12-01,371.916
2019-12-02,269.99
2019-12-03,196.6101
2019-12-04,233.16895
2019-12-05,169.7656
2019-12-06,165.8096
2019-12-07,185.92305
2019-12-08,373.6896
2019-12-09,222.0741
2019-12-10,176.012
2019-12-11,209.1069
2019-12-12,171.0448
2019-12-13,167.8
2019-12-14,189.50835
2019-12-15,398.97875
2019-12-16,220.9941
2019-12-17,170.368
2019-12-18,209.8296
2019-12-19,165.9464
2019-12-20,148.64625
2019-12-21,168.1472
2019-12-22,335.64475
2019-12-23,197.336
2019-12-24,151.17
2019-12-25,231.2091
2019-12-26,193.22115
2019-12-27,150.69
2019-12-28,189.09525
2019-12-29,311.1867
2019-12-30,178.936
2019-12-31,174.2688
2020-01-01,279.80715
2020-01-02,238.4234
2020-01-03,189.5823
2020-01-04,191.18795
2020-01-05,291.4632
2020-01-06,200.02795
2020-01-07,132.8957
2020-01-08,284.3442
2020-01-09,206.9136
2020-01-10,187.72845
2020-01-11,188.71275
2020-01-12,365.022
2020-01-13,238.56115
2020-01-14,194.6619
2020-01-15,207.8658
2020-01-16,204.9984
2020-01-17,187.78965
2020-01-18,213.4251
2020-01-19,391.26625
2020-01-20,268.138
2020-01-21,238.10515
2020-01-22,319.5984
2020-01-23,409.77
2020-01-24,557.1306
2020-01-25,251.365
2020-01-26,303.8387
2020-01-27,325.1765
2020-01-28,330.7557
2020-01-29,288.14835
2020-01-30,235.78145
2020-01-31,172.9784
2020-02-01,240.1771
2020-02-02,499.2568
2020-02-03,272.346
2020-02-04,196.1732
2020-02-05,208.8621
2020-02-06,211.1796
2020-02-07,214.1397
2020-02-08,235.6646
2020-02-09,373.5396
2020-02-10,250.0001
2020-02-11,215.8218
2020-02-12,188.1067
2020-02-13,238.6837
2020-02-14,189.8339
2020-02-15,235.8983
2020-02-16,395.4125
2020-02-17,219.7557
2020-02-18,214.9551
2020-02-19,256.238
2020-02-20,191.2126
2020-02-21,172.448
2020-02-22,239.0105
2020-02-23,525.6366
2020-02-24,235.2143
2020-02-25,234.20445
2020-02-26,310.8633
2020-02-27,235.4233
2020-02-28,191.0817
2020-02-29,319.9669
2020-03-01,460.08135
2020-03-02,269.881
2020-03-03,262.23
2020-03-04,250.203
2020-03-05,255.652
2020-03-06,279.2265
2020-03-07,259.466
