"Month","gu","FW_t","TotalHouses","age_05","age1929","age65_","mem1","AvgMem","IncLv","nBusiness","Suv1yr","NO2","pm10","avg_temp","search","Holidays"
2018-07-01,"도봉구",2166.99855,137901,0.0372158790879968,0.147373238362337,0.162704326499959,0.305447598015357,2.47,-1,3061,70.3,0.0127037037037037,25.8888888888889,27.7967741935484,-0.698227894588396,0
2018-08-01,"도봉구",1525.0402,137901,0.0372158790879968,0.147373238362337,0.162704326499959,0.307428878231406,2.47,-1,3061,70.4882627138715,0.0114516129032258,23.4193548387097,28.7612903225806,-1.19275215129729,0
2018-09-01,"도봉구",1578.6648,137901,0.0372158790879968,0.147373238362337,0.162704326499959,0.308547436204233,2.47,-1,3061,70.2431413989282,0.0133333333333333,21.1,21.4966666666667,-1.76723571857559,1
2018-10-01,"도봉구",1824.16331,138087,0.0366544593165259,0.147127540783647,0.164772710532596,0.309964410231877,2.46,-1,3061,69.8,0.0198064516129032,27.1935483870968,13.0548387096774,-1.20322309098803,0
2018-11-01,"도봉구",1688.0904,138087,0.0366544593165259,0.147127540783647,0.164772710532596,0.311348781937017,2.46,-1,3061,69.3521248786722,0.0310714285714286,53.3928571428571,7.79333333333333,-1.05440111686834,0
2018-12-01,"도봉구",1848.219,138087,0.0366544593165259,0.147127540783647,0.164772710532596,0.312715896500033,2.46,-1,3061,68.9244920635515,0.0256774193548387,40.258064516129,-0.606451612903226,-0.406082926719761,0
2019-01-01,"도봉구",1372.7518,138175,0.0356639630572494,0.147220413237819,0.167814220590847,0.31388975374523,2.44,-1,3067,68.5,0.0167096774193548,62.3225806451613,-0.896774193548387,-0.701059064524421,0
2019-02-01,"도봉구",1388.19575,138175,0.0356639630572494,0.147220413237819,0.167814220590847,0.314681163721651,2.44,-1,3067,68.0921266603285,0.0232857142857143,52.3928571428571,0.985714285714286,-0.473987091704909,1
2019-03-01,"도봉구",1431.158499,138175,0.0356639630572494,0.147220413237819,0.167814220590847,0.315809661660937,2.44,-1,3067,67.8366681246435,0.033625,69.5833333333333,7.09354838709677,-0.461577248984366,0
2019-04-01,"도봉구",1698.0275,138460,0.0351798941484654,0.146941769775882,0.170226731373516,0.316764569708895,2.43,-1,3074,67.9,0.0349666666666667,38.8333333333333,12.12,0.670412901370123,0
2019-05-01,"도봉구",1446.39745,138460,0.0351798941484654,0.146941769775882,0.170226731373516,0.31825668588271,2.43,-1,3074,68.3941832948285,0.0481935483870968,53.4516129032258,19.4193548387097,0.219936903760552,0
2019-06-01,"도봉구",1530.26885,138460,0.0351798941484654,0.146941769775882,0.170226731373516,0.319088545428283,2.43,-1,3074,69.2140206230599,0.0438666666666667,31.8333333333333,22.5033333333333,-0.537644399059475,0
2019-07-01,"도봉구",1998.201644,138603,0.0344249582438559,0.146841445955619,0.173049391553329,0.320391152166853,2.42,-1,3067,70.2,0.0346774193548387,22.8387096774194,25.8774193548387,0.256454350923673,0
2019-08-01,"도봉구",1502.47975,138603,0.0344249582438559,0.146841445955619,0.173049391553329,0.321160298733629,2.42,-1,3067,71.1755846048018,0.0331935483870968,20.0967741935484,27.1903225806452,0.47683815924859,0
2019-09-01,"도봉구",1933.367349,138603,0.0344249582438559,0.146841445955619,0.173049391553329,0.322157529057813,2.42,-1,3067,71.896138272006,0.026,16.3214285714286,22.6433333333333,-0.063581799056087,1
