"date","gu","disq_t"
2017-08-09,"강남구",5.15576542229255
2017-08-10,"강남구",4.63258861898945
2017-08-11,"강남구",5.4031683697483
2017-08-12,"강남구",5.05444273043421
2017-08-13,"강남구",4.87265975392696
2017-08-14,"강남구",6.00292366129595
2017-08-15,"강남구",4.22602991336985
2017-08-16,"강남구",6.07268680695068
2017-08-17,"강남구",5.02374990318911
2017-08-18,"강남구",5.02342159736303
2017-08-19,"강남구",4.83683126943118
2017-08-20,"강남구",4.37586966096109
2017-08-21,"강남구",6.86228450251122
2017-08-22,"강남구",5.22637878814307
2017-08-23,"강남구",4.80035351275106
2017-08-24,"강남구",4.6382376028309
2017-08-25,"강남구",5.0644707145054
2017-08-26,"강남구",4.72170493362276
2017-08-27,"강남구",5.00837057476055
2017-08-28,"강남구",5.80026080122351
2017-08-29,"강남구",5.11510313120023
2017-08-30,"강남구",4.75403319884155
2017-08-31,"강남구",4.52593126201517
2017-09-01,"강남구",4.72051491712257
2017-09-02,"강남구",4.61968768446202
2017-09-03,"강남구",5.02566825659156
2017-09-04,"강남구",6.06682741500502
2017-09-05,"강남구",4.81528239638182
2017-09-06,"강남구",4.61315557313871
2017-09-07,"강남구",4.52238681041263
2017-09-08,"강남구",4.86692502765505
2017-09-09,"강남구",4.65785022500503
2017-09-10,"강남구",4.94898570732678
2017-09-11,"강남구",6.11116673435739
2017-09-12,"강남구",5.07269618243066
2017-09-13,"강남구",4.64713174440256
2017-09-14,"강남구",4.56888369266692
2017-09-15,"강남구",4.80908266669562
2017-09-16,"강남구",4.51272804067669
2017-09-17,"강남구",5.04364017682942
2017-09-18,"강남구",6.2032419524359
2017-09-19,"강남구",4.77345917594254
2017-09-20,"강남구",5.01635510359864
2017-09-21,"강남구",4.51346920660776
2017-09-22,"강남구",5.01012791106767
2017-09-23,"강남구",4.76088853250708
2017-09-24,"강남구",5.25333868384553
2017-09-25,"강남구",6.41529901548507
2017-09-26,"강남구",5.39995735257538
2017-09-27,"강남구",5.24954082508446
2017-09-28,"강남구",4.81900869533162
2017-09-29,"강남구",5.48096311910647
2017-09-30,"강남구",5.63331302485302
2017-10-01,"강남구",5.94841247121527
2017-10-02,"강남구",8.18131064877198
2017-10-03,"강남구",6.32143024503691
2017-10-04,"강남구",4.2767707526539
2017-10-05,"강남구",4.47042142303387
2017-10-06,"강남구",6.67566875716006
2017-10-07,"강남구",5.80793595946092
2017-10-08,"강남구",5.08068207989902
2017-10-09,"강남구",6.34840459407662
2017-10-10,"강남구",6.19719065145452
2017-10-11,"강남구",5.38581910108402
2017-10-12,"강남구",4.63708011761944
2017-10-13,"강남구",4.88285078547905
2017-10-14,"강남구",4.64445780181158
2017-10-15,"강남구",5.32449092906517
2017-10-16,"강남구",6.37103602359009
2017-10-17,"강남구",5.31345014355397
2017-10-18,"강남구",5.06247719171733
2017-10-19,"강남구",4.73223061783581
2017-10-20,"강남구",5.12162847457165
2017-10-21,"강남구",4.80122462335835
2017-10-22,"강남구",5.3467448572623
2017-10-23,"강남구",6.40045661123953
2017-10-24,"강남구",5.16439277120084
2017-10-25,"강남구",5.11231338143252
2017-10-26,"강남구",4.68611349288183
2017-10-27,"강남구",5.15696109379253
2017-10-28,"강남구",4.85807000484529
2017-10-29,"강남구",5.30403637367634
2017-10-30,"강남구",6.15280176061455
2017-10-31,"강남구",5.18776070427852
2017-11-01,"강남구",5.28189163510299
2017-11-02,"강남구",4.91293643720055
2017-11-03,"강남구",5.15128445158771
2017-11-04,"강남구",4.8667603558657
2017-11-05,"강남구",5.50028381695589
2017-11-06,"강남구",6.91392305797342
2017-11-07,"강남구",5.67087154824998
2017-11-08,"강남구",5.46105451183649
2017-11-09,"강남구",5.05466938162295
2017-11-10,"강남구",5.34290261577674
2017-11-11,"강남구",5.30964759234626
2017-11-12,"강남구",6.02921938028004
2017-11-13,"강남구",6.88210014820206
2017-11-14,"강남구",5.95864170409579
2017-11-15,"강남구",5.51696379533814
2017-11-16,"강남구",5.30080700783385
2017-11-17,"강남구",5.82499375499728
2017-11-18,"강남구",5.40278259649076
2017-11-19,"강남구",6.04036517432474
2017-11-20,"강남구",7.15874333994931
2017-11-21,"강남구",5.98018063577582
2017-11-22,"강남구",5.9057735772146
2017-11-23,"강남구",5.36220510031564
2017-11-24,"강남구",5.76719182127045
2017-11-25,"강남구",5.30772280186957
2017-11-26,"강남구",6.66583144885335
2017-11-27,"강남구",7.31421253456088
2017-11-28,"강남구",6.1250946679839
2017-11-29,"강남구",5.57666149254801
2017-11-30,"강남구",5.07474294644024
2017-12-01,"강남구",5.60786505952227
2017-12-02,"강남구",5.48559116492575
2017-12-03,"강남구",6.13144195406113
2017-12-04,"강남구",6.8040208290269
2017-12-05,"강남구",5.39539707651432
2017-12-06,"강남구",5.36833116460553
2017-12-07,"강남구",4.97679084502042
2017-12-08,"강남구",5.05664553333451
2017-12-09,"강남구",5.04608310666266
2017-12-10,"강남구",5.46970243531852
2017-12-11,"강남구",6.22580717634002
2017-12-12,"강남구",4.87434993711147
2017-12-13,"강남구",4.82357616046157
2017-12-14,"강남구",4.52392671498547
2017-12-15,"강남구",4.86249412475428
2017-12-16,"강남구",4.47625900713457
2017-12-17,"강남구",5.05247066957356
2017-12-18,"강남구",6.10385305995021
2017-12-19,"강남구",5.15096303403266
2017-12-20,"강남구",4.87501199320492
2017-12-21,"강남구",4.48678240528387
2017-12-22,"강남구",4.97527920040669
2017-12-23,"강남구",4.93953283372713
2017-12-24,"강남구",4.36753049144413
2017-12-25,"강남구",5.90241428173579
2017-12-26,"강남구",6.20161989996705
2017-12-27,"강남구",5.28928386287174
2017-12-28,"강남구",4.88685469077534
2017-12-29,"강남구",5.24142212536019
2017-12-30,"강남구",5.18778789640521
2017-12-31,"강남구",5.52151244556185
2018-01-01,"강남구",5.51038605297922
2018-01-02,"강남구",6.70867922877205
2018-01-03,"강남구",5.6807792848992
2018-01-04,"강남구",4.98341871012321
2018-01-05,"강남구",5.03615999858908
2018-01-06,"강남구",4.79492149958626
2018-01-07,"강남구",5.51604731438898
2018-01-08,"강남구",6.46493307069179
2018-01-09,"강남구",5.12027747338551
2018-01-10,"강남구",4.77402896866201
2018-01-11,"강남구",4.35070205926125
2018-01-12,"강남구",4.62236034349043
2018-01-13,"강남구",4.86921258508313
2018-01-14,"강남구",5.54944529129476
2018-01-15,"강남구",6.53592950133444
2018-01-16,"강남구",5.24494631175659
2018-01-17,"강남구",5.09658556151036
2018-01-18,"강남구",4.82988949893542
2018-01-19,"강남구",5.06318051124876
2018-01-20,"강남구",4.65072031499306
2018-01-21,"강남구",5.43441030177132
2018-01-22,"강남구",6.23172391162262
2018-01-23,"강남구",4.46774064631808
2018-01-24,"강남구",4.31039830947225
2018-01-25,"강남구",4.21222246276814
2018-01-26,"강남구",4.34085387846593
2018-01-27,"강남구",4.56338135905391
2018-01-28,"강남구",5.38322138324731
2018-01-29,"강남구",5.91899542235876
2018-01-30,"강남구",5.02886855792969
2018-01-31,"강남구",5.03592739637954
2018-02-01,"강남구",4.60065221448598
2018-02-02,"강남구",4.93676603661552
2018-02-03,"강남구",4.46014787761206
2018-02-04,"강남구",5.0192127631462
2018-02-05,"강남구",5.81991607027901
2018-02-06,"강남구",4.64031352441624
2018-02-07,"강남구",4.81559684142129
2018-02-08,"강남구",4.82451569445904
2018-02-09,"강남구",4.96684818493165
2018-02-10,"강남구",5.26317672807602
2018-02-11,"강남구",5.62163347428463
2018-02-12,"강남구",6.46644287694667
2018-02-13,"강남구",5.90138985517257
2018-02-14,"강남구",7.38306189906626
2018-02-15,"강남구",7.9090976569457
2018-02-16,"강남구",4.24736623037617
2018-02-17,"강남구",4.57078444444955
2018-02-18,"강남구",5.6109461432964
2018-02-19,"강남구",7.20421425937745
2018-02-20,"강남구",5.64097853101767
2018-02-21,"강남구",5.10517397454575
2018-02-22,"강남구",4.95951910722396
2018-02-23,"강남구",5.02955161553036
2018-02-24,"강남구",5.13394171420046
2018-02-25,"강남구",4.93187507361574
2018-02-26,"강남구",6.70432029641542
2018-02-27,"강남구",5.34570067464839
2018-02-28,"강남구",4.41741294747489
2018-03-01,"강남구",5.39947777730931
2018-03-02,"강남구",5.69613154038122
2018-03-03,"강남구",5.4218072033251
2018-03-04,"강남구",5.48193965441218
2018-03-05,"강남구",6.62245270475331
2018-03-06,"강남구",5.38719719608916
2018-03-07,"강남구",5.02674963998606
2018-03-08,"강남구",4.61555787557896
2018-03-09,"강남구",4.98521483284862
2018-03-10,"강남구",4.91709903408472
2018-03-11,"강남구",5.75766958155493
2018-03-12,"강남구",6.41190046189668
2018-03-13,"강남구",5.37816183345253
2018-03-14,"강남구",5.21225301406315
2018-03-15,"강남구",4.46923252207929
2018-03-16,"강남구",5.1652969275677
2018-03-17,"강남구",4.90115275571009
2018-03-18,"강남구",5.43836226906431
2018-03-19,"강남구",6.16207299387417
2018-03-20,"강남구",5.05684306242828
2018-03-21,"강남구",4.61676246189711
2018-03-22,"강남구",4.84668607807698
2018-03-23,"강남구",4.8608879402661
2018-03-24,"강남구",4.83286972922393
2018-03-25,"강남구",5.7323611607713
2018-03-26,"강남구",6.35458299020892
2018-03-27,"강남구",5.35641467743902
2018-03-28,"강남구",5.22702570224436
2018-03-29,"강남구",4.86636098794005
2018-03-30,"강남구",5.10181060929845
2018-03-31,"강남구",5.03557142743141
2018-04-01,"강남구",5.59769362429966
2018-04-02,"강남구",6.45593061923692
2018-04-03,"강남구",5.36479022570752
2018-04-04,"강남구",5.00556192773049
2018-04-05,"강남구",4.02508324388415
2018-04-06,"강남구",4.85933655874078
2018-04-07,"강남구",4.71710837710046
2018-04-08,"강남구",4.99397282109554
2018-04-09,"강남구",6.4848728298538
2018-04-10,"강남구",4.94008357949009
2018-04-11,"강남구",5.18208995458734
2018-04-12,"강남구",4.70852167834999
2018-04-13,"강남구",4.90185301793604
2018-04-14,"강남구",4.34540448641001
2018-04-15,"강남구",5.62505172753756
2018-04-16,"강남구",6.33390733949372
2018-04-17,"강남구",5.11579146772829
2018-04-18,"강남구",4.8869757738184
2018-04-19,"강남구",4.72428091433967
2018-04-20,"강남구",4.95052913452783
2018-04-21,"강남구",5.07735531553528
2018-04-22,"강남구",4.94237849735272
2018-04-23,"강남구",5.30922798101111
2018-04-24,"강남구",5.76423609590705
2018-04-25,"강남구",5.17242076984863
2018-04-26,"강남구",4.70777357058622
2018-04-27,"강남구",4.88009424802825
2018-04-28,"강남구",4.91783216116041
2018-04-29,"강남구",5.44882893606144
2018-04-30,"강남구",6.26554999643945
2018-05-01,"강남구",4.88077812416136
2018-05-02,"강남구",5.24195664517898
2018-05-03,"강남구",5.07561506923203
2018-05-04,"강남구",5.41441167004953
2018-05-05,"강남구",4.5787198539245
2018-05-06,"강남구",4.57669440311931
2018-05-07,"강남구",7.04347235652878
2018-05-08,"강남구",5.78643313588338
2018-05-09,"강남구",5.26784909658183
2018-05-10,"강남구",4.86865720309938
2018-05-11,"강남구",5.03567629224801
2018-05-12,"강남구",3.98760218005462
2018-05-13,"강남구",6.6162430705458
2018-05-14,"강남구",6.47553612372653
2018-05-15,"강남구",5.70041711369825
2018-05-16,"강남구",4.81958635309854
2018-05-17,"강남구",4.43421848414128
2018-05-18,"강남구",5.76498357046648
2018-05-19,"강남구",5.49503589548856
2018-05-20,"강남구",5.56637929122249
2018-05-21,"강남구",6.58694770179032
2018-05-22,"강남구",4.80974356226212
2018-05-23,"강남구",6.54126783092368
2018-05-24,"강남구",5.5545325785285
2018-05-25,"강남구",5.28350146003382
2018-05-26,"강남구",5.46653909007208
2018-05-27,"강남구",6.1483994557662
2018-05-28,"강남구",6.69896879308707
2018-05-29,"강남구",5.41669262652863
2018-05-30,"강남구",5.58725101906751
2018-05-31,"강남구",5.30622935690867
2018-06-01,"강남구",5.5593331631915
2018-06-02,"강남구",5.77630373514028
2018-06-03,"강남구",6.51665286155833
2018-06-04,"강남구",6.85581165525932
2018-06-05,"강남구",5.68693806198725
2018-06-06,"강남구",5.95959200598981
2018-06-07,"강남구",6.24317332720217
2018-06-08,"강남구",5.70926870807969
2018-06-09,"강남구",5.62216107249739
2018-06-10,"강남구",6.42476457952779
2018-06-11,"강남구",6.63543601924075
2018-06-12,"강남구",5.7350412213138
2018-06-13,"강남구",5.92193653297416
2018-06-14,"강남구",5.78794155217751
2018-06-15,"강남구",5.9695701790033
2018-06-16,"강남구",5.9796410160668
2018-06-17,"강남구",6.65673061947801
2018-06-18,"강남구",7.02851228619443
2018-06-19,"강남구",6.18936717436157
2018-06-20,"강남구",5.84143450052908
2018-06-21,"강남구",5.7267136575792
2018-06-22,"강남구",6.04593432918305
2018-06-23,"강남구",6.36561466080701
2018-06-24,"강남구",6.89032626485577
2018-06-25,"강남구",7.58372979126004
2018-06-26,"강남구",4.79656562238164
2018-06-27,"강남구",6.75776314440394
2018-06-28,"강남구",5.52839461372515
2018-06-29,"강남구",6.30002795740412
2018-06-30,"강남구",6.41687777234707
2018-07-01,"강남구",5.64304340482345
2018-07-02,"강남구",7.27899532235664
2018-07-03,"강남구",7.04342621218413
2018-07-04,"강남구",6.27029938012553
2018-07-05,"강남구",5.88599774241706
2018-07-06,"강남구",5.90600363186696
2018-07-07,"강남구",6.03501853171314
2018-07-08,"강남구",5.83540898466951
2018-07-09,"강남구",6.46105661484395
2018-07-10,"강남구",6.42399045847583
2018-07-11,"강남구",6.01538162628702
2018-07-12,"강남구",5.8502099103347
2018-07-13,"강남구",5.95730096333526
2018-07-14,"강남구",6.30844964292339
2018-07-15,"강남구",6.96417216975126
2018-07-16,"강남구",7.53129418521141
2018-07-17,"강남구",6.81525046295955
2018-07-18,"강남구",6.60893187762157
2018-07-19,"강남구",6.04085006114007
2018-07-20,"강남구",6.19710272200281
2018-07-21,"강남구",6.45478662253437
2018-07-22,"강남구",6.76473094484952
2018-07-23,"강남구",7.43661843763823
2018-07-24,"강남구",6.53729528676221
2018-07-25,"강남구",6.19341469087678
2018-07-26,"강남구",5.93220109386856
2018-07-27,"강남구",6.25793417662544
2018-07-28,"강남구",6.24101482605001
2018-07-29,"강남구",6.58849773705158
2018-07-30,"강남구",7.41749958105685
2018-07-31,"강남구",6.350599089103
2018-08-01,"강남구",6.05575920457599
2018-08-02,"강남구",5.76023248557093
2018-08-03,"강남구",5.73766626952082
2018-08-04,"강남구",5.27861091164485
2018-08-05,"강남구",6.17923731068392
2018-08-06,"강남구",6.95188115478094
2018-08-07,"강남구",5.94647017060576
2018-08-08,"강남구",5.69720840255696
2018-08-09,"강남구",5.46723696796333
2018-08-10,"강남구",5.58214652315402
2018-08-11,"강남구",5.48254354781563
2018-08-12,"강남구",5.83416189372488
2018-08-13,"강남구",6.46567013367497
2018-08-14,"강남구",5.4173892283359
2018-08-15,"강남구",5.4314002450119
2018-08-16,"강남구",5.96502761946768
2018-08-17,"강남구",5.5148940527758
2018-08-18,"강남구",5.38853280576979
2018-08-19,"강남구",5.79605416747824
2018-08-20,"강남구",6.33371653376573
2018-08-21,"강남구",5.48263309136757
2018-08-22,"강남구",5.3609876901369
2018-08-23,"강남구",5.07135743421147
2018-08-24,"강남구",4.94353222713061
2018-08-25,"강남구",5.24356388836389
2018-08-26,"강남구",5.61068418323434
2018-08-27,"강남구",5.89905021398395
2018-08-28,"강남구",4.38420198087163
2018-08-29,"강남구",4.86421960536288
2018-08-30,"강남구",5.8611944177507
2018-08-31,"강남구",5.12989761152713
2018-09-01,"강남구",5.08140800641759
2018-09-02,"강남구",5.74529432159163
2018-09-03,"강남구",5.61854223170846
2018-09-04,"강남구",5.78263199422345
2018-09-05,"강남구",5.00344015267328
2018-09-06,"강남구",4.85521712181782
2018-09-07,"강남구",4.96257453287112
2018-09-08,"강남구",5.00892032570171
2018-09-09,"강남구",5.6257245694986
2018-09-10,"강남구",6.09170356219605
2018-09-11,"강남구",5.32152827339822
2018-09-12,"강남구",5.06684272876078
2018-09-13,"강남구",4.96014328115552
2018-09-14,"강남구",5.14305000287322
2018-09-15,"강남구",5.31575856774609
2018-09-16,"강남구",5.87272168857004
2018-09-17,"강남구",6.58203230087641
2018-09-18,"강남구",5.91725135755511
2018-09-19,"강남구",5.58927189635359
2018-09-20,"강남구",5.38799058061456
2018-09-21,"강남구",6.61876921387214
2018-09-22,"강남구",7.97566682268546
2018-09-23,"강남구",7.23607719808513
2018-09-24,"강남구",5.01116350456042
2018-09-25,"강남구",6.23562590102584
2018-09-26,"강남구",7.33694460791803
2018-09-27,"강남구",6.0093768856313
2018-09-28,"강남구",5.14906577761498
2018-09-29,"강남구",5.73800309322063
2018-09-30,"강남구",6.09890907455715
2018-10-01,"강남구",6.22308202905929
2018-10-02,"강남구",5.3532370670127
2018-10-03,"강남구",5.43626062535337
2018-10-04,"강남구",5.89344304430663
2018-10-05,"강남구",4.36416698117033
2018-10-06,"강남구",5.83713463798025
2018-10-07,"강남구",6.06142466951279
2018-10-08,"강남구",6.003277368456
2018-10-09,"강남구",5.30012631789072
2018-10-10,"강남구",5.55640238566316
2018-10-11,"강남구",4.94828914422622
2018-10-12,"강남구",4.86106457441771
2018-10-13,"강남구",5.08760044614679
2018-10-14,"강남구",5.74693185172734
2018-10-15,"강남구",6.13549098705146
2018-10-16,"강남구",5.4095858120439
2018-10-17,"강남구",5.03736225237693
2018-10-18,"강남구",4.91291857403192
2018-10-19,"강남구",4.96135282929519
2018-10-20,"강남구",4.16199087281934
2018-10-21,"강남구",5.75752417064594
2018-10-22,"강남구",6.13048737291009
2018-10-23,"강남구",5.3607100438254
2018-10-24,"강남구",5.1348539345924
2018-10-25,"강남구",5.02144286211164
2018-10-26,"강남구",4.74364041381263
2018-10-27,"강남구",5.18129981166688
2018-10-28,"강남구",5.74584046399692
2018-10-29,"강남구",6.31457671541114
2018-10-30,"강남구",5.64320821340135
2018-10-31,"강남구",5.18979296299614
2018-11-01,"강남구",5.08997171310193
2018-11-02,"강남구",5.20967266316929
2018-11-03,"강남구",5.35048498952693
2018-11-04,"강남구",6.20406685999381
2018-11-05,"강남구",6.52565356346498
2018-11-06,"강남구",5.71998423633927
2018-11-07,"강남구",5.5607469598603
2018-11-08,"강남구",4.47985729513249
2018-11-09,"강남구",6.40592160432653
2018-11-10,"강남구",6.06907176958579
2018-11-11,"강남구",6.52168018608936
2018-11-12,"강남구",7.00685214914127
2018-11-13,"강남구",6.29282755997658
2018-11-14,"강남구",5.98396185695082
2018-11-15,"강남구",5.88054944563721
2018-11-16,"강남구",6.10686155567013
2018-11-17,"강남구",6.35099281758803
2018-11-18,"강남구",7.08168436382334
2018-11-19,"강남구",7.48003095774077
2018-11-20,"강남구",6.60495377562374
2018-11-21,"강남구",6.13619368489713
2018-11-22,"강남구",6.0076868165005
2018-11-23,"강남구",6.16627647585603
2018-11-24,"강남구",6.18484409162649
2018-11-25,"강남구",7.50409664328898
2018-11-26,"강남구",7.61711123623887
2018-11-27,"강남구",6.15331742023713
2018-11-28,"강남구",5.72071833199076
2018-11-29,"강남구",5.71568061385173
2018-11-30,"강남구",6.15281940618276
2018-12-01,"강남구",6.30139066860747
2018-12-02,"강남구",7.09250484013091
2018-12-03,"강남구",6.77210388227234
2018-12-04,"강남구",6.52804230853203
2018-12-05,"강남구",5.55113305637651
2018-12-06,"강남구",5.64017847465275
2018-12-07,"강남구",4.82646441667029
2018-12-08,"강남구",5.15610319210424
2018-12-09,"강남구",6.17788215148191
2018-12-10,"강남구",6.24826009401382
2018-12-11,"강남구",5.89923324824056
2018-12-12,"강남구",5.3622471906905
2018-12-13,"강남구",4.89271169377074
2018-12-14,"강남구",4.85946620183125
2018-12-15,"강남구",5.21369578364014
2018-12-16,"강남구",6.15194040218173
2018-12-17,"강남구",6.55007008211493
2018-12-18,"강남구",5.65160936915954
2018-12-19,"강남구",5.20044049719897
2018-12-20,"강남구",5.15658556706104
2018-12-21,"강남구",5.11735131744412
2018-12-22,"강남구",5.47881931950489
2018-12-23,"강남구",5.92571022547068
2018-12-24,"강남구",6.17301822767377
2018-12-25,"강남구",5.5234270195131
2018-12-26,"강남구",6.20345792197687
2018-12-27,"강남구",4.77584085221229
2018-12-28,"강남구",4.73933208165421
2018-12-29,"강남구",5.17032734007644
