"Week","disq_t"
2018-10-08,2569.85650279385
2018-10-15,2492.70755811185
2018-10-22,2557.08935424258
2018-10-29,2671.97350812747
2018-11-05,2828.02905535166
2018-11-12,3062.03246816057
2018-11-19,3154.89223009378
2018-11-26,3063.03394938652
2018-12-03,2781.96161910443
2018-12-10,2643.01891748869
2018-12-17,2674.08674932987
2018-12-24,2629.7582127896
2018-12-31,2742.79889763646
2019-01-07,2547.17386575429
2019-01-14,2542.42748401112
2019-01-21,2559.03941982522
2019-01-28,2898.75768487514
2019-02-04,2907.47769604702
2019-02-11,2627.26179589655
2019-02-18,2624.36084089777
2019-02-25,2686.01594766857
2019-03-04,2559.9491218399
2019-03-11,2449.2280844343
2019-03-18,2441.01101867089
2019-03-25,2483.54368519281
2019-04-01,2489.62175359243
2019-04-08,2477.60051278065
2019-04-15,2559.30498027001
2019-04-22,2548.79104786685
2019-04-29,2619.88523919658
2019-05-06,2728.58163610271
2019-05-13,2752.6809828055
2019-05-20,2917.30969765954
2019-05-27,2872.77855751723
2019-06-03,3042.21514524769
2019-06-10,3018.8789104901
2019-06-17,3033.90256237506
2019-06-24,3158.19967121582
2019-07-01,3255.05430953021
2019-07-08,3239.34658814441
2019-07-15,3271.40644546847
2019-07-22,3297.36745746457
2019-07-29,3230.97715945018
2019-08-05,3308.4095259108
2019-08-12,3189.75087516199
2019-08-19,2942.75995467465
2019-08-26,2612.49400693396
2019-09-02,3013.97586343228
2019-09-09,3468.25923971147
2019-09-16,2957.15067652668
2019-09-23,2906.97260208008
2019-09-30,2916.63229013935
2019-10-07,2790.64648427026
2019-10-14,2723.41076511797
2019-10-21,2716.96429217881
2019-10-28,2845.54201638515
2019-11-04,2873.34784884561
2019-11-11,3126.95423736583
2019-11-18,3333.09773089376
2019-11-25,3203.06901559315
2019-12-02,2975.03025922717
2019-12-09,2901.41882729778
2019-12-16,2769.11753140124
2019-12-23,2847.38358368899
2019-12-30,2914.78252590481
2020-01-06,2781.43329684139
2020-01-13,2808.97717918317
2020-01-20,3268.97799506519
2020-01-27,3248.08011275206
2020-02-03,2944.24339748665
2020-02-10,2902.66638012492
2020-02-17,2924.27305638982
2020-02-24,3041.20772638009
2020-03-02,2982.04525397629
2020-03-09,2828.10623774546
2020-03-16,2966.84574734766
2020-03-23,2964.80988574192
2020-03-30,2914.81115374381
2020-04-06,2817.62339838278
2020-04-13,2877.27714378187
2020-04-20,2911.22226470011
2020-04-27,3010.88806118781
2020-05-04,3145.40905676371
2020-05-11,3184.67054803631
2020-05-18,3198.97149876947
2020-05-25,3305.4729542252
2020-06-01,3380.67933052366
2020-06-08,3592.79286144753
2020-06-15,3536.81551681406
2020-06-22,3531.98225749432
2020-06-29,3478.0077083783
2020-07-06,3478.27605683911
2020-07-13,3573.50697915657
2020-07-20,3588.81588445136
2020-07-27,3478.96470723647
2020-08-03,3475.67337831918
2020-08-10,3331.17675827364
2020-08-17,3476.66591157818
2020-08-24,3242.6299636124
