"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2017-06-01,129109.183113964,84999.8958723572,85120.6795407207,95089.6872423566,97182.6162281591,96436.5843410433,93310.7930012897,82730.3477976521,95902.325196424,80753.1682319234,80256.406243098,102462.717911357,123025.056402686,104472.876514076,110954.830191274,96818.953729988,81753.4641684027,102109.23060231,90178.8415071698,97017.7320081974,111478.099043089,86310.7521368621,183096.286385875,218294.880830631,74104.6843052162
2017-07-01,129046,84524,84387,96353,96112,96879,94321,83531,96094,80565,81157,103993,125500,106342,112510,98620,81949,103248,90897,96696,112141,86394,185374,221007,72893
2017-08-01,128237.867366228,84193.0576239514,83740.8882785111,96328.7245376878,95727.8020156471,97005.0694133522,94658.5803763781,83789.1309368988,95306.6335197194,79941.7518880595,81937.7912139771,106201.38660884,128178.69849782,108720.555319987,113295.315668407,100481.836335458,82945.3196846989,104192.10163699,91795.5733349804,96148.6182470152,113126.292483735,86956.9393773692,187541.309094397,222965.349040081,71835.803391035
2017-09-01,127173.82536008,84167.5545910551,83390.6566136841,95743.8795340708,95985.0482498752,96797.7624801441,94459.4071537648,83711.5931965801,94233.401418203,79216.9654606236,82871.1463972079,108563.286345013,130490.614543297,111015.203309979,113633.518727334,102284.050027199,84378.1102174534,104985.640524863,92769.0527900873,95592.6124878071,114074.540205006,87647.6140951039,189166.151339765,223929.314168285,71083.1315693324
2017-10-01,126483,84580,83480,95586,96680,96269,94010,83620,93817,78782,84268,110381,131752,112434,113994,103893,85713,105690,93640,95243,114500,87996,189725,223747,70734
2017-11-01,126604.366045892,85480.2689544838,84029.1530463614,96564.0467121199,97588.5962922666,95451.5106512776,93576.3018558794,83734.8527206239,94728.7276848164,78934.8584091603,86338.5495901121,111150.753091481,131527.644084342,112464.673917463,114728.705075083,105187.643072991,86559.3008094917,106321.643572379,94249.411247347,95218.8834337654,114063.994623823,87690.251334942,188885.02029793,222408.310118389,70815.3870571343
2017-12-01,127216.293223494,86587.7005782374,84564.5088193577,98272.6835102491,98405.4870686364,94461.254627269,93341.9487540214,83872.2053419536,96554.2913529862,79600.1180737304,88890.0452051074,111144.470041925,130376.485424125,111713.643579342,115719.798603094,106097.327642698,87101.0579247468,106717.355446384,94512.021406555,95255.7069294631,113016.110507257,87051.2359271669,187076.145292103,220470.343977712,71066.1227507874
2018-01-01,127807,87539,84489,100028,98805,93435,93470,83747,98608,80609,91629,110828,129106,111067,116732,106564,87666,106669,94361,94993,111753,86558,184919,218632,71153
2018-02-01,127987.816598351,88067.8295210764,83436.4624990064,101271.607132351,98633.9980004717,92511.6657593153,94046.027014919,83177.5322546796,100314.529815089,81758.7033641882,94309.3437589077,110567.489914126,128315.577016665,111196.823084233,117518.419586815,106573.628409616,88519.6992995567,106088.435184605,93814.0409348908,94196.9961660713,110669.766058009,86583.203431011,182957.572676847,217439.743819695,70870.4261582054
2018-03-01,127862.520264463,88295.6801330326,81964.3451459223,101947.201239748,98429.4849570607,91838.7745663354,94845.6496820015,82395.5113615314,101540.025762445,82710.3400222325,96874.6727823625,110330.277931731,127772.258575016,111919.148298577,117785.731304735,106288.269031638,89679.1025280041,105367.493245155,93226.9356577668,93140.7449795256,110155.314062263,87073.9607147471,181429.304528859,216830.309920868,70523.2663164068
2018-04-01,127658,88441,80861,102124,98901,91566,95567,81736,102261,83091,99316,109984,127035,112836,117229,105914,91099,105018,93040,92224,110597,87871,180495,216588,70544
2018-05-01,127547.071264409,88677.3018500996,80711.03399465,101944.969202919,100469.893187328,91772.7892744243,95969.8493437037,81435.5738162132,102532.819721494,82709.6244303833,101628.297596479,109425.990955721,125749.899700851,113580.218930788,115715.542503583,105628.954399655,92668.9019922817,105400.023096607,93534.4990871639,91762.5393093569,112138.237440438,88797.8238299029,180234.72603172,216526.010899128,71228.1305322664
2018-06-01,127486.255348283,88998.3566674102,81284.073559916,101848.067086316,102404.758288306,92257.6841444264,96060.5265920468,81336.8603230319,102726.272263901,82102.5588743766,103822.374776554,108672.381194112,123911.628423958,113907.911374497,113801.683585375,105499.485119637,94017.1986299037,106266.59749892,94355.4952216372,91736.2390783605,113946.670280726,89609.0323249558,180405.599555423,216573.120042519,72323.2564280299
2018-07-01,127378,89353,82146,102345,103686,92749,95907,81184,103291,81988,105913,107769,121602,113606,112216,105564,94707,107219,94989,92041,114946,90042,180684,216687,73440
2018-08-01,127161.009455124,89694.2964118584,82947.2904112824,103753.849389304,103618.281102067,93042.1030689134,95625.5756102663,80834.9132212082,104508.265373007,82886.3174327973,107824.836225546,106798.546262991,119004.60195771,112625.153044467,111482.225213669,105827.553991763,94507.02606465,107980.54650304,95092.8145683055,92565.5503002047,114411.987883945,89951.5382864143,180818.819492569,216804.212583794,74268.6072682847
2018-09-01,126919.013897961,89992.2265306599,83676.805058858,105618.197081655,102803.29670453,93200.5629300331,95525.9106164781,80602.6399389337,105985.811107877,84526.5726284091,109122.124407719,105991.197291819,116710.116618041,111571.021018251,111304.71953895,106161.790489812,94008.4362857146,108762.709351757,95011.8982704993,93169.9283366622,113028.63444446,89662.2062817261,180849.000953152,216776.876575722,74817.8190825849
2018-10-01,126772,90221,84408,107288,102167,93355,95966,80914,107163,86440,109279,105614,115411,111213,111183,106405,94008,109899,95263,93707,111832,89616,180886,216436,75176
2018-11-01,126839.557581761,90357.4754654296,85193.8413972574,108248.633239863,102414.797219217,93644.5762276998,97171.5889559717,82086.5881137687,107612.600267958,88153.2169495386,107945.542686523,105849.564733056,115562.025801641,111994.724446898,110770.704789889,106453.088892552,95018.5863417107,111597.753854196,96186.9463433176,94083.5557861207,111636.514727487,90125.060061477,181088.773775783,215702.620247176,75438.1440982987
2018-12-01,127239.689059875,90389.1075803205,86005.3358342816,108527.144587065,103369.906745427,94242.6196909968,98839.4235346333,84001.098439752,107441.001823108,89174.3728342092,105475.609074051,106542.755564537,116667.238437211,113056.782330276,110337.956777342,106432.426995188,96417.4636346452,113566.602131088,97420.8746593284,94422.0846120278,112370.088237728,90982.1055111029,181806.285520857,214857.892173113,75725.7635379269
2019-01-01,128090,90306,86793,108286,104635,95331,100534,86429,106888,89007,102399,107454,117993,113214,110309,106527,97298,115388,98426,94899,113739,91850,183435,214273,76167
2019-02-01,129420.130588202,90121.6535782751,87504.8995552437,107692.728762354,105847.344835878,96949.4809091762,101891.994491773,89093.3269163097,106191.111332938,87442.8888431223,99173.1041394717,108381.26887886,118954.554094983,111662.208427199,110952.77044159,106817.386734325,96983.1470870255,116707.475117214,98797.4741324979,95616.2635923495,115383.508761662,92455.9992454556,186132.0854043,214208.787908981,76829.1126348169
2019-03-01,130907.85949217,89943.1579628729,88079.2960484599,106935.113458975,106782.594832282,98569.4027504241,102838.802652396,91523.3737094658,105578.737155245,85426.86196068,95965.6615182995,109272.70637596,119562.670373857,109121.257068052,111916.971870198,106970.538566474,95714.1906571861,117422.845086852,98666.1956847795,96378.0295115229,116679.790382404,92784.9272294179,189097.523630087,214484.739917012,77535.8304694112
2019-04-01,132143,89901,88452,106206,107251,99520,103372,93200,105277,84192,92872,110114,119977,106692,112694,106550,93962,117495,98297,96914,116938,92886,191292,214810,78050
2019-05-01,132841.660806172,90089.2065177662,88595.9677891753,105653.785044053,107138.971585417,99389.277913373,103538.210854715,93821.4375543259,105423.065511402,84579.0054557498,90017.300014849,110873.656047801,120336.980040648,105217.367770232,112932.435665973,105313.549355332,92172.2697546318,116954.567899172,97928.0830526165,97026.5379926293,115745.042818458,92816.9059196635,191954.032755164,215033.07996875,78207.8868439152
2019-06-01,133225.132230704,90455.9642718918,88632.7392311378,105249.068243701,106637.565777298,98800.3248628624,103580.254744672,93955.4067223849,105798.271778134,85859.0682119595,87646.1522601585,111451.455968662,120701.191178472,104508.596804924,112905.600186308,103795.900220398,90689.9959588326,116111.128632613,97691.0833422942,96808.6491937325,113794.824306729,92669.2226082627,191433.471810647,215559.962973653,78139.4331029469
2019-07-01,133641,90913,88721,104918,106014,98635,103790,94387,106095,86911,86033,111730,121108,104119,113043,102726,89835,115344,97691,96426,112058,92543,190358,216936,78048
2019-08-01,134368.189150073,91383.8536839936,88948.2663250923,104592.612542917,105490.065118748,99504.0370669613,104333.458385663,95654.7006441643,106095.589584417,86876.7189635081,85360.9180233547,111643.366189195,121563.266483166,103706.468640021,113670.968376,102579.86028879,89771.8850055583,114940.956989802,97958.4899533322,96059.8066593556,111277.319964506,92522.154853668,189187.042834301,219567.225549354,78079.2288784112
2019-09-01,135410.981955383,91839.3182828934,89117.3766566183,104228.465418072,105105.84576223,100933.668168497,104873.215405955,97310.5549565503,105942.212769255,85950.5688951855,85447.5072188442,111331.543823467,121942.824171516,103347.207564103,114703.145903087,102821.749440821,90044.3810630389,114823.603345658,98226.8413164141,95953.4848246581,111283.912390679,92626.0712264202,187706.996534732,223302.408188375,78147.8815632456
2019-10-01,136705,92262,88960,103787,104856,102179,104946,98660,105867,84590,86019,110986,122090,103222,115950,102663,90041,114822,98155,96366,111681,92858,185536,227851,78111
2019-11-01,138138.76777872,92688.6380055188,88306.1150586038,103246.949969465,104726.545717368,102665.240485448,104272.363010039,99205.4265356834,106030.09466945,83200.5631346622,86835.1760398804,110776.731047272,121909.102174837,103462.276188201,117229.43157077,101566.935415435,89342.5235564684,114838.641178658,97519.8089859065,97468.7168514298,112150.084730926,93216.9191101087,182453.351463186,232871.980796798,77878.0865313288
2019-12-01,139412.421429245,93372.5033372754,87378.9393275741,102656.218232157,104668.94006267,102498.002463151,103308.142890769,99237.0401180807,106303.69195966,81980.2117628539,87790.00404965,110787.850218951,121548.363987317,104002.054420144,118389.075460603,100004.842757057,88298.8131223451,115065.754281052,96569.6995401978,99082.5966928202,112685.785389815,93684.7147082787,178882.986494868,237822.441309882,77568.4850885153
2020-01-01,140179,94621,86500,102080,104626,101953,102693,99242,106488,81075,88811,111082,121217,104726,119284,98700,87452,115768,95671,100941,113361,94239,175410,242109,77354
2020-02-01,140100.961957268,96730.7054050422,85971.1623293814,101580.032023669,104542.270530299,101271.926917171,103029.830314922,99668.0746945837,106397.624330377,80641.3618311765,89818.9704097161,111726.117029123,121112.02852119,105528.648829395,119767.786822404,98325.2869383584,87305.761509309,117195.55236964,95166.459288227,102794.807416407,114232.97074142,94858.242779971,172587.255016659,245148.369781972,77395.9435147921
2020-03-01,138878.44343875,99954.8905902274,86015.6438108629,101204.217208854,104369.208801904,100560.396052974,104774.47229023,100805.469756312,105904.760132846,80877.2507200654,90707.8839899631,112804.314559987,121381.682842177,106344.019199766,119688.070773021,99351.9906420622,88209.9590401732,119540.638789393,95304.5086709431,104464.980255913,115296.316420432,95524.3291997241,170838.687115425,246397.64138691,77813.6595641748
2020-04-01,136221,104536,86837,100997,104060,99890,108346,102905,104896,81991,91365,114405,122162,107116,118891,102201,90476,122981,96310,105790,116530,96220,170556,245324,78716
2020-05-01,131838.187196575,110716.478078805,88638.7864523482,101002.824841552,103567.829309772,99332.3313508429,114163.487518305,106217.480240462,103257.936524431,84190.9430043136,91677.5776990862,116616.580756569,123589.017031695,107788.480118987,117222.722651488,107293.203901061,94415.2917961969,127694.376742201,98407.7851272496,106608.34813015,117912.984443087,96927.9959215394,172130.897374089,241394.630806427,80211.8166741196
2020-06-01,125439.56058403,118738.769271085,91624.5587234632,101266.136177954,102845.881916405,98958.9826980948,122646.008919219,110993.725292514,100877.162298733,87685.4130663396,91532.876346481,119527.464237101,125798.770974298,108305.348445617,114529.386875635,115049.491234134,100339.241836171,133858.509756736,101822.715904544,106758.506127843,119424.232712655,97631.0577050831,175955.082941395,234076.718991375,82409.9614383854
