"Month","gu","type","FW"
2020-02-01,"구로구","FW_t",5.16529211438425
2020-02-01,"구로구","pred",5.20291733901034
2020-03-01,"구로구","FW_t",5.40727322371277
2020-03-01,"구로구","pred",5.24861173904248
2020-04-01,"구로구","FW_t",5.18144028351762
2020-04-01,"구로구","pred",5.29658248826766
2020-05-01,"구로구","FW_t",5.29700664793157
2020-05-01,"구로구","pred",5.34937611157291
2020-06-01,"구로구","FW_t",5.61681763840172
2020-06-01,"구로구","pred",5.39930201545411
2018-01-01,"금천구","FW_t",5.82395760992259
2018-01-01,"금천구","pred",5.70531966857494
2018-02-01,"금천구","FW_t",5.71040201706236
2018-02-01,"금천구","pred",5.70992394873292
2018-03-01,"금천구","FW_t",5.63087337331319
2018-03-01,"금천구","pred",5.74068074477809
2018-04-01,"금천구","FW_t",5.80110411496526
2018-04-01,"금천구","pred",5.76031134187004
2018-05-01,"금천구","FW_t",5.6795167625975
2018-05-01,"금천구","pred",5.77514021549197
2018-06-01,"금천구","FW_t",5.77348218516247
2018-06-01,"금천구","pred",5.78923967771175
2018-07-01,"금천구","FW_t",6.0584818684802
2018-07-01,"금천구","pred",5.81494272820541
2018-08-01,"금천구","FW_t",5.6947820924589
2018-08-01,"금천구","pred",5.81457453116093
2018-09-01,"금천구","FW_t",5.73169364197534
2018-09-01,"금천구","pred",5.78518228464646
2018-10-01,"금천구","FW_t",5.85777128424032
2018-10-01,"금천구","pred",5.76601173393825
2018-11-01,"금천구","FW_t",5.8259768032741
2018-11-01,"금천구","pred",5.74404691824932
2018-12-01,"금천구","FW_t",5.87418944493155
2018-12-01,"금천구","pred",5.71077365250795
2019-01-01,"금천구","FW_t",5.62375014192884
2019-01-01,"금천구","pred",5.71826884664258
2019-02-01,"금천구","FW_t",5.66412126449836
2019-02-01,"금천구","pred",5.72086994156191
2019-03-01,"금천구","FW_t",5.53963300085701
2019-03-01,"금천구","pred",5.73877864500066
2019-04-01,"금천구","FW_t",5.7858452943749
2019-04-01,"금천구","pred",5.76798372976231
2019-05-01,"금천구","FW_t",5.68179211602
2019-05-01,"금천구","pred",5.78979851740371
2019-06-01,"금천구","FW_t",5.75943223252829
2019-06-01,"금천구","pred",5.79724586446401
2019-07-01,"금천구","FW_t",6.03000606331307
2019-07-01,"금천구","pred",5.81482810191248
2019-08-01,"금천구","FW_t",5.7246727455477
2019-08-01,"금천구","pred",5.81585694428341
2019-09-01,"금천구","FW_t",5.98032452685494
2019-09-01,"금천구","pred",5.79617763508362
2019-10-01,"금천구","FW_t",5.61251788374375
2019-10-01,"금천구","pred",5.78899780004563
2019-11-01,"금천구","FW_t",5.76607096637502
2019-11-01,"금천구","pred",5.754261927706
2019-12-01,"금천구","FW_t",5.85069531008186
2019-12-01,"금천구","pred",5.72871828221206
2020-01-01,"금천구","FW_t",5.69484431471852
2020-01-01,"금천구","pred",5.74784737470513
2020-02-01,"금천구","FW_t",5.6473754255299
2020-02-01,"금천구","pred",5.74700495508098
2020-03-01,"금천구","FW_t",5.84566954864309
2020-03-01,"금천구","pred",5.76162199681833
2020-04-01,"금천구","FW_t",5.60078102606212
2020-04-01,"금천구","pred",5.78470501776542
2020-05-01,"금천구","FW_t",5.70806827746891
2020-05-01,"금천구","pred",5.8050264974205
2020-06-01,"금천구","FW_t",6.01984194788606
2020-06-01,"금천구","pred",5.82166176653544
2018-01-01,"노원구","FW_t",7.13923419442614
2018-01-01,"노원구","pred",7.01777733544259
2018-02-01,"노원구","FW_t",6.99842701326614
2018-02-01,"노원구","pred",7.0492549647449
2018-03-01,"노원구","FW_t",6.93089996146369
2018-03-01,"노원구","pred",7.09819523715736
2018-04-01,"노원구","FW_t",7.13037033066502
2018-04-01,"노원구","pred",7.10397471448746
2018-05-01,"노원구","FW_t",7.02377208911345
2018-05-01,"노원구","pred",7.148507829481
2018-06-01,"노원구","FW_t",7.14503488382655
2018-06-01,"노원구","pred",7.19194928924583
2018-07-01,"노원구","FW_t",7.4195205911027
2018-07-01,"노원구","pred",7.18286634266333
2018-08-01,"노원구","FW_t",7.05091838648438
2018-08-01,"노원구","pred",7.20831712477217
2018-09-01,"노원구","FW_t",7.09855000355362
2018-09-01,"노원구","pred",7.20337616388588
2018-10-01,"노원구","FW_t",7.25197411167063
2018-10-01,"노원구","pred",7.1607852488837
2018-11-01,"노원구","FW_t",7.19483680864419
2018-11-01,"노원구","pred",7.16557010482086
2018-12-01,"노원구","FW_t",7.30465264525364
2018-12-01,"노원구","pred",7.16022303249558
2019-01-01,"노원구","FW_t",7.07642642388299
2019-01-01,"노원구","pred",7.13441448027458
2019-02-01,"노원구","FW_t",7.14085664627002
2019-02-01,"노원구","pred",7.16439601498115
2019-03-01,"노원구","FW_t",7.03482238090245
2019-03-01,"노원구","pred",7.20450199121073
