"date","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2017-03-11,4.07006879393536,5.3473,3.24439071893617,3.82565,1.60287542550101,3.9784,1.2556,8.9101,24.4342,60.20445,1.0427,11.04985,19.8029,11.6382,8.67755,5.52865,4.4966,42.69835,13.05245,23.81015,0.17685,1.60315,1.7925,4.60625,12.68635
2017-03-12,4.22648443397867,7.1604,3.36907496299836,5.89205,1.66447506872154,4.787,1.4321,12.4549,30.28305,11.91595,1.64165,14.27505,36.3692,14.9705,10.4128,7.46885,5.76055,53.4621,4.26145,30.70265,0.18515,2.6124,2.3921,5.8856,16.69275
2017-03-13,5.60738800915362,6.30265,4.46984032345594,4.1236,2.20830283127251,4.91165,1.68375,9.59795,29.21415,90.72405,1.2553,12.65525,50.5349,13.17895,10.86285,6.4802,5.1235,53.9293,20.63955,27.08835,0.1624,1.6186,2.41465,5.32315,15.00955
2017-03-14,4.41880405878103,5.28575,3.52237949846661,3.41835,1.74021442745095,3.94665,1.127,7.73715,24.2369,84.0534,0.94005,10.89145,26.0918,10.7699,9.14035,5.4851,4.5236,42.5779,11.0909,22.1593,0.22565,1.39505,2.0309,4.0344,12.644
2017-03-15,4.25437441170919,6.1896,3.39130701593935,4.0302,1.67545870614522,3.79825,1.3796,7.89375,24.0752,52.1758,0.9934,11.3981,43.613,11.9727,8.997,5.73605,4.7437,42.11415,10.72055,22.9044,0.1149,1.4706,1.88105,4.2343,12.43635
2017-03-16,3.84860260833551,5.278,3.06785246528577,3.60365,1.5156575615164,3.8978,1.281,8.2418,22.9139,48.8477,0.96695,10.8889,21.9087,10.9225,9.1785,5.41415,4.10045,45.0526,10.81665,22.8124,0.15325,1.50775,1.9214,4.21175,11.97315
2017-03-17,4.27853599994478,4.9732,3.41056704238979,3.48405,1.68497402836326,3.60075,1.1637,7.79965,23.15715,61.46645,0.95325,10.02305,45.03275,10.0463,8.8913,5.09925,4.25245,42.0384,11.4273,21.51485,0.1492,1.44715,1.94705,4.2701,11.7418
2017-03-18,4.04740066708277,5.28375,3.22632118151562,4.03295,1.5939482585872,3.8489,1.2731,8.68615,25.241,59.11405,1.1902,10.6942,19.61475,11.5647,8.76315,5.65085,4.3751,42.7793,12.1853,23.8407,0.16905,1.6625,1.83965,4.71085,12.5908
2017-03-19,4.54357125181272,7.31975,3.6218356854733,6.4479,1.78935027201388,5.0567,1.56435,12.4766,33.3349,12.6852,1.6798,15.27715,40.619,16.5253,11.09455,8.09095,6.16035,56.59165,4.6636,33.1621,0.21545,2.6808,2.3955,6.31505,17.74465
2017-03-20,5.52424071224664,5.9934,4.40356077584937,4.242,2.17555774374288,4.81195,1.4359,9.45975,28.5387,90.5771,1.12805,12.64235,49.208,12.9254,10.4594,6.48525,5.05195,52.67845,20.977,26.6623,0.1944,1.7119,2.38155,5.19805,14.543
2017-03-21,4.43882817242987,5.2899,3.53834140274057,3.57945,1.74810032847872,4.1673,1.3034,8.0357,24.2349,80.87425,0.94375,11.01275,27.7642,11.08855,9.37915,5.373,4.42595,42.9705,10.9706,23.2333,0.1815,1.4506,2.04025,3.97895,12.839
2017-03-22,4.22783802435601,6.3598,3.37015395607682,4.16885,1.66500813999426,3.69595,1.3514,8.1931,23.8838,49.9498,1.0474,11.63005,42.48035,11.76635,8.8426,5.78825,4.8668,42.5342,11.43725,22.8885,0.12635,1.35085,2.1178,4.23165,12.39715
2017-03-23,3.97075887592824,5.41695,3.16522739453224,3.7696,1.5637651708244,3.90255,1.3384,8.18025,23.53965,51.4673,1.0007,10.6986,23.9356,11.28065,9.56215,5.6955,4.11825,46.4653,10.6473,22.928,0.122,1.47305,1.93345,4.3649,12.17495
2017-03-24,4.21625580269387,4.957,3.36092137196883,3.68395,1.66044682680402,3.8071,1.1941,7.99295,23.1177,58.4956,0.92145,10.27405,42.66285,10.3535,9.02145,5.2178,4.2507,41.9543,11.0004,22.0382,0.14465,1.32525,1.94625,4.2233,11.7556
2017-03-25,4.05685323988456,5.1901,3.23385614984684,3.83875,1.59767087297502,3.9689,1.2436,8.593,24.7097,61.33895,1.0896,11.10055,19.62605,11.1683,8.32305,5.68295,4.5748,42.412,12.55225,23.42145,0.1464,1.5709,1.89075,4.6542,12.64325
2017-03-26,4.29850446598922,7.56215,3.42648458805942,6.3436,1.69283801423871,4.83215,1.69135,12.34185,31.4936,12.08405,1.59815,14.39685,35.52425,15.8787,10.54255,7.3296,5.84665,54.56275,4.3022,31.34675,0.204,2.58975,2.3458,5.9055,17.0846
2017-03-27,5.54445056857504,6.3331,4.41967074195132,4.17415,2.18351679399529,4.539,1.42175,9.0993,28.3237,90.84485,1.19155,12.33745,55.71515,12.4385,10.6988,6.45005,4.7407,51.25965,20.68175,25.30745,0.18875,1.64235,2.3004,4.8782,14.083
2017-03-28,4.35741647918451,5.26145,3.47344536403683,3.66915,1.716038756781,3.93175,1.2247,7.7863,25.33325,75.02345,0.9557,11.1725,25.425,11.34645,9.6797,5.7287,4.61745,44.08085,10.796,23.0207,0.17985,1.36055,2.05155,4.1406,12.93825
2017-03-29,4.24386603841307,6.28255,3.38293043300694,4.0397,1.67132029616467,3.9957,1.37355,8.20525,25.20295,48.7539,1.09575,11.8313,40.29695,12.0959,9.2181,5.91755,4.77685,43.9914,11.1707,23.65775,0.14355,1.47595,1.8943,4.21035,12.54395
2017-03-30,3.89403662134572,5.5119,3.10406946740475,3.64345,1.53355039493594,3.8014,1.3761,8.007,24.22585,45.21585,0.98515,10.98325,25.0999,11.0532,9.4099,5.47275,4.27845,46.0265,10.85295,22.47365,0.13,1.54805,2.0332,4.287,12.49835
2017-03-31,4.00834883270174,4.359,3.19519163176157,3.36085,1.57856885621853,3.5208,1.113,7.5833,23.1142,55.7291,0.94125,9.79285,39.3769,9.78705,8.41135,5.0815,4.01025,39.70335,11.66645,20.8433,0.1565,1.30675,1.922,4.0565,10.6782
2017-05-01,4.88270580090974,7.51855,3.89217140687449,5.30295,1.92290831788671,5.4561,1.6808,11.59975,35.355,12.1169,1.2728,13.97645,66.6443,15.51865,12.1875,7.66305,5.822,59.73425,4.46375,30.8952,0.18955,2.0743,2.67735,5.89465,16.60645
2017-05-02,5.92736850241657,6.37725,4.72490769335637,4.6312,2.33431762248565,4.97615,1.5516,9.80755,30.47105,129.3447,1.18595,13.1154,26.1774,13.0678,11.071,6.65215,5.51785,50.3614,28.54355,27.1294,0.22655,1.74875,2.26915,4.5181,15.3658
2017-05-03,5.1738330112903,7.36485,4.12423884042644,5.3321,2.03756010262042,4.6636,1.68215,10.5219,31.6408,70.3371,1.3429,13.6138,42.6106,15.4056,10.50225,7.72115,5.76145,51.57735,9.49505,28.8045,0.1989,1.91105,2.37035,5.3078,15.84205
2017-05-04,4.938433116745,6.5979,3.93659355191453,5.058,1.94485486218458,4.72805,1.5019,10.38,30.6906,60.92135,1.289,12.87055,35.0658,13.7103,10.9774,6.8016,5.0724,53.9843,15.08275,28.4963,0.16125,1.9888,2.40805,5.08925,15.48005
2017-05-05,4.18765970198317,6.01085,3.33812644430525,4.78535,1.6491851038664,4.1038,1.3816,10.43425,30.45095,10.91395,1.22095,12.1747,53.09855,13.44355,9.7549,6.6241,5.2842,49.37,8.52625,26.58555,0.19035,1.83775,2.20355,5.19495,14.8467
2017-05-06,5.05748943677521,6.12405,4.03149740717916,4.6219,1.99174164943284,4.1135,1.47315,9.9121,29.20825,100.0415,1.25385,11.62065,21.89285,12.8343,9.48905,6.5779,4.84405,46.4132,15.998785,25.7568,0.19415,1.97605,2.12845,5.13545,14.66165
2017-05-07,4.6599687443445,7.93525,3.71462009861154,6.53455,1.83518995920717,5.37845,1.76705,13.60775,37.23855,13.6366,1.82535,15.6177,35.6047,17.13755,11.52345,8.5445,6.388,58.9668,4.38445,33.13355,0.2057,2.8451,2.5835,6.41075,18.57125
