기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.07	도봉구	도봉2동	12,178	4,048	3,077	2,525	1,903	460	129	27	7	1	1
2019.07	노원구	소계	217,227	68,669	48,345	44,475	43,917	9,420	1,822	396	119	43	21
2019.07	노원구	월계1동	10,480	4,311	2,216	1,794	1,621	439	75	19	4	1	-
2019.07	노원구	월계2동	11,242	3,852	2,901	2,162	1,782	422	97	16	6	3	1
2019.07	노원구	월계3동	13,010	3,690	3,516	2,856	2,298	490	122	27	8	2	1
2019.07	노원구	공릉2동	16,298	5,445	3,106	3,251	3,533	753	156	35	10	8	1
2019.07	노원구	하계1동	12,370	4,781	2,346	2,191	2,423	500	90	18	15	2	4
2019.07	노원구	하계2동	8,283	1,602	1,767	2,004	2,345	461	84	14	3	3	-
2019.07	노원구	중계본동	9,113	2,112	1,447	1,934	2,780	685	120	25	7	2	1
2019.07	노원구	중계1동	9,082	1,401	1,332	2,301	3,321	615	84	18	9	1	-
2019.07	노원구	중계4동	8,490	2,510	1,961	1,686	1,843	389	78	17	3	2	1
2019.07	노원구	상계1동	15,595	4,330	3,597	3,389	3,239	824	168	32	8	3	5
2019.07	노원구	상계2동	8,760	3,135	1,706	1,655	1,779	366	94	19	5	1	-
2019.07	노원구	상계5동	10,992	3,865	2,614	2,184	1,779	425	86	23	10	5	1
2019.07	노원구	상계8동	9,277	2,228	2,260	2,315	2,053	354	50	15	2	-	-
2019.07	노원구	상계9동	8,459	2,021	2,105	2,051	1,888	322	56	13	1	2	-
2019.07	노원구	상계10동	6,616	1,700	1,749	1,512	1,379	213	44	13	3	2	1
2019.07	노원구	상계3.4동	11,618	4,543	2,839	1,974	1,654	460	109	26	11	2	-
2019.07	노원구	상계6.7동	14,024	4,174	3,273	3,053	2,877	551	72	19	2	-	3
2019.07	노원구	중계2.3동	15,447	4,842	3,955	3,191	2,760	576	95	20	5	1	2
2019.07	노원구	공릉1동	18,071	8,127	3,655	2,972	2,563	575	142	27	7	3	-
2019.07	은평구	소계	207,393	75,855	47,828	39,468	33,139	8,471	1,972	464	125	40	31
2019.07	은평구	녹번동	16,853	6,523	4,051	3,136	2,394	591	115	35	4	3	1
2019.07	은평구	불광1동	17,850	6,497	4,282	3,532	2,724	611	155	37	9	3	-
2019.07	은평구	갈현1동	11,215	4,547	2,659	2,001	1,525	368	84	21	8	2	-
2019.07	은평구	갈현2동	12,600	4,219	3,035	2,587	2,102	500	121	24	9	1	2
2019.07	은평구	구산동	13,094	3,967	3,139	2,747	2,393	641	147	37	14	1	8
2019.07	은평구	대조동	15,447	7,319	3,413	2,418	1,735	419	110	27	4	1	1
2019.07	은평구	응암1동	11,344	4,668	2,478	1,977	1,685	407	98	14	6	4	7
2019.07	은평구	응암2동	8,823	2,558	2,036	1,991	1,717	400	85	19	9	5	3
2019.07	은평구	신사1동	11,686	3,667	2,843	2,512	2,019	482	115	33	10	5	-
2019.07	은평구	신사2동	9,210	3,151	2,142	1,841	1,565	381	98	25	3	3	1
2019.07	은평구	증산동	6,941	2,457	1,675	1,288	1,131	310	55	21	3	1	-
2019.07	은평구	수색동	3,930	1,412	939	756	605	165	43	9	1	-	-
2019.07	은평구	진관동	21,264	5,868	4,113	4,256	5,025	1,539	370	66	19	4	4
2019.07	은평구	불광2동	13,753	5,831	3,289	2,352	1,708	444	93	25	8	2	1
2019.07	은평구	응암3동	12,589	5,790	2,875	1,982	1,458	359	92	24	5	1	3
2019.07	은평구	역촌동	20,794	7,381	4,859	4,092	3,353	854	191	47	13	4	-
2019.07	서대문구	소계	139,994	58,454	29,454	24,353	20,980	5,140	1,158	332	87	23	13
2019.07	서대문구	천연동	8,211	3,313	1,705	1,516	1,301	298	51	18	4	2	3
2019.07	서대문구	홍제1동	10,255	3,410	2,448	2,068	1,736	453	94	31	8	4	3
2019.07	서대문구	홍제3동	7,120	2,624	1,683	1,323	1,134	280	56	11	8	1	-
2019.07	서대문구	홍제2동	5,856	1,734	1,398	1,302	1,106	247	48	13	6	1	1
2019.07	서대문구	홍은1동	9,313	3,095	2,141	1,849	1,651	443	104	25	4	-	1
2019.07	서대문구	홍은2동	12,148	4,684	2,761	2,210	1,848	461	121	46	15	2	-
2019.07	서대문구	남가좌1동	6,125	1,463	1,235	1,477	1,495	358	71	22	2	1	1
2019.07	서대문구	남가좌2동	11,193	4,560	2,402	1,979	1,744	381	91	28	7	1	-
2019.07	서대문구	북가좌1동	7,030	1,585	1,617	1,669	1,634	405	89	19	9	1	2
2019.07	서대문구	북가좌2동	14,767	5,487	3,520	2,763	2,280	549	128	36	4	-	-
2019.07	서대문구	충현동	8,845	4,468	1,700	1,242	1,059	282	72	17	4	1	-
2019.07	서대문구	북아현동	7,569	2,876	1,690	1,479	1,214	246	46	14	2	2	-
2019.07	서대문구	신촌동	12,375	9,214	1,494	819	631	151	42	16	4	2	2
2019.07	서대문구	연희동	19,187	9,941	3,660	2,657	2,147	586	145	36	10	5	-
2019.07	마포구	소계	173,852	77,483	35,591	28,484	24,818	5,772	1,229	322	97	28	28
2019.07	마포구	용강동	9,134	3,156	1,954	1,867	1,685	363	79	23	5	2	-
2019.07	마포구	대흥동	7,149	4,791	1,129	585	502	107	26	5	1	-	3
2019.07	마포구	염리동	5,717	2,458	1,184	989	846	186	35	12	5	-	2
2019.07	마포구	신수동	9,159	3,574	1,885	1,709	1,547	333	80	21	9	1	-
2019.07	마포구	서교동	14,084	8,699	2,428	1,487	1,089	292	61	17	5	5	1
2019.07	마포구	합정동	9,602	4,969	2,126	1,266	938	219	56	16	5	1	6
2019.07	마포구	망원1동	10,705	5,084	2,404	1,528	1,296	312	59	16	3	1	2
2019.07	마포구	망원2동	8,248	3,009	1,880	1,516	1,423	334	63	16	5	2	-
2019.07	마포구	연남동	8,644	4,813	1,727	1,057	772	211	44	11	5	1	3
2019.07	마포구	성산1동	9,344	4,146	2,058	1,490	1,200	340	73	24	7	3	3
2019.07	마포구	성산2동	18,726	7,894	3,848	3,223	2,906	677	136	27	13	1	1
2019.07	마포구	상암동	12,847	4,278	2,425	2,481	2,700	750	155	41	12	4	1
2019.07	마포구	도화동	9,655	3,664	2,037	1,826	1,620	389	88	23	4	2	2
2019.07	마포구	서강동	11,691	5,207	2,255	1,954	1,790	386	67	23	6	1	2
2019.07	마포구	공덕동	18,980	8,570	4,004	3,131	2,571	536	131	26	8	3	-
2019.07	마포구	아현동	10,167	3,171	2,247	2,375	1,933	337	76	21	4	1	2
2019.07	양천구	소계	177,197	49,975	37,310	38,416	40,131	8,878	1,849	430	146	32	30
2019.07	양천구	목1동	10,437	1,574	1,697	2,833	3,493	646	140	42	10	1	1
